	Name	Nationality
0	P. Maldini	Italy
1	I. Openda	Belgium
2	S. Bergwijn	Netherlands
3	Ansu Fati	Spain
4	E. Håland	Norway
5	J. Tanganga	England
6	Bruno Fernandes	Portugal
7	Francisco Trincão	Portugal
8	Gabriel Martinelli	Brazil
9	Adama Traoré	Spain
10	O. Ighalo	Nigeria
11	S. Esposito	Italy
12	E. Camavinga	France
13	Reinier	Brazil
14	B. White	England
15	J. Strand Larsen	Norway
16	Pablo Marí	Spain
17	M. Greenwood	England
18	S. Tonali	Italy
19	A. Davies	Canada
20	J. Sancho	England
21	J. Doku	Belgium
22	M. Ødegaard	Norway
23	S. Berge	Norway
24	T. Almada	Argentina
25	Pedri	Spain
26	M. Boadu	Netherlands
27	João Félix	Portugal
28	F. Valverde	Uruguay
29	C. Immobile	Italy
30	B. Saka	England
31	O. Zinchenko	Ukraine
32	T. Werner	Germany
33	N. Domínguez	Argentina
34	K. Mbappé	France
35	Dani Olmo	Spain
36	Rodrygo	Brazil
37	R. Gravenberch	Netherlands
38	H. Abe	Japan
39	F. Tomori	England
40	M. Ihattaren	Netherlands
41	Emerson	Brazil
42	J. Grealish	England
43	L. Martínez	Argentina
44	P. De la Vega	Argentina
45	K. Havertz	Germany
46	W. McKennie	United States
47	Vinícius Jr.	Brazil
48	Neymar Jr	Brazil
49	V. Osimhen	Nigeria
50	L. Messi	Argentina
51	Ferrán Torres	Spain
52	D. Upamecano	France
53	T. Alexander-Arnold	England
54	C. Eriksen	Denmark
55	A. Hložek	Czech Republic
56	Luiz Felipe	Brazil
57	R. Lukaku	Belgium
58	F. de Jong	Netherlands
59	R. James	England
60	M. Aarons	England
61	Cristiano Ronaldo	Portugal
62	D. James	Wales
63	Richarlison	Brazil
64	J. Gomez	England
65	K. Diatta	Senegal
66	D. Malen	Netherlands
67	J. Maddison	England
68	A. Wan-Bissaka	England
69	K. Pi?tek	Poland
70	A. Hakimi	Morocco
71	I. Konaté	France
72	W. Saliba	France
73	Roberto Firmino	Brazil
74	J. David	Canada
75	C. Hudson-Odoi	England
76	H. Son	Korea Republic
